LookupName,SMILES,CID
L-DOPA-C20:1,NA,0
PABA-C20:2,NA,0
lithocholic acid-C12:1,NA,0
spermidine-C16:0,NA,0
spermidine-C18:2,NA,0
N-Acryloyl-L-Val-L-Val-OH,NA,0
Citrulline-C24:1,NA,0
Gln-C22:2,NA,0
Gln-C22:5,NA,0
Glu-C19:1,NA,0
Glu-C21:0,NA,0
Glu-C22:1,NA,0
His-C20:1,NA,0
Leu-C15:1,NA,0
Ornithine-C11:0,NA,0
Ornithine-C13:0,NA,0
Ornithine-C15:0,NA,0
Thr-C19:1,NA,0
Thr-C20:1,NA,0
Thr-C20:2,NA,0
Thr-C20:3,NA,0
Thr-C22:3,NA,0
aminoadipic acid-C19:2,NA,0
aminoadipic acid-C20:1,NA,0
amyl amine-C16:1,NA,0
amylamine-C14:1,NA,0
dopamine-C13:1,NA,0
putrescine-C18:2,NA,0
2-[[(Z)-15-oxohenicos-8-enoyl]amino]acetic acid,NA,0
Acetyl-DL-carnitine,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,1
1-Amino-2-propanol,CC(CN)O,4
"(5S)-17-hydroxy-10,13-dimethyltetradecahydro-1H-cyclopenta(a)phenanthren-3(2H)-one",CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C,15
6-Aminohexanoic Acid Cyclic Oligomer,C1CCC(=O)NCCCCCC(=O)NCC1,16
ALPHA-HYDROXYGLUTARIC ACID,C(CC(=O)O)C(C(=O)O)O,43
alpha-Ketoisovaleric acid,CC(C)C(=O)C(=O)O,49
Alpha-Ketoglutaric Acid,C(CC(=O)O)C(=O)C(=O)O,51
Oxoglutaric acid,C(CC(=O)O)C(=O)C(=O)O,51
alpha-Ketoglutaric acid,NA,51
alpha-KETOBUTYRIC ACID,CCC(=O)C(=O)O,58
Protocatechuic acid,C1=CC(=C(C=C1C(=O)O)O)O,72
Analogue of Dehydroepiandrosterone,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C,76
2-Isopropylmalic acid,CC(C)C(CC(=O)O)(C(=O)O)O,77
2-ISOPROPYLMALIC ACID,NA,77
(3-Carboxy-2-hydroxypropyl)-tris(trideuteriomethyl)azanium,C[N+](C)(C)CC(CC(=O)O)O,85
"1-propanaminium, 3-carboxy-2-hydroxy-n,n,n-trimethyl-, inner salt",C[N+](C)(C)CC(CC(=O)O)O,85
2-Amino-3-hydroxybenzoic acid,C1=CC(=C(C(=C1)O)N)C(=O)O,86
3-HYDROXYANTHRANILATE,C1=CC(=C(C(=C1)O)N)C(=O)O,86
3-Hydroxyanthranilic Acid,C1=CC(=C(C(=C1)O)N)C(=O)O,86
3-Hydroxyanthranilic acid,C1=CC(=C(C(=C1)O)N)C(=O)O,86
3-Hydroxyanthranilic acid,NA,86
3-HYDROXYKYNURENINE,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N,89
3-Hydroxykynurenine,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N,89
3-(3-Hydroxyphenyl)propanoic acid,C1=CC(=CC(=C1)O)CCC(=O)O,91
3-(3-hydroxyphenyl)propanoic acid,C1=CC(=CC(=C1)O)CCC(=O)O,91
3-(3-Hydroxyphenyl)propanoic acid (Chimeric precursor selection),NA,91
3-Hydroxybenzaldehyde,C1=CC(=CC(=C1)O)C=O,101
3-hydroxybenzaldehyde,C1=CC(=CC(=C1)O)C=O,101
3-Hydroxybenzyl alcohol,C1=CC(=CC(=C1)O)CO,102
3-hydroxybenzyl alcohol,C1=CC(=CC(=C1)O)CO,102
3-hydroxybenzyl alcohol,NA,102
Hydrocinnamic acid,C1=CC=C(C=C1)CCC(=O)O,107
Hydrocinnamic acid,NA,107
3-Pyridineacetic acid,C1=CC(=CN=C1)CC(=O)O,108
3-Pyridylacetic acid,C1=CC(=CN=C1)CC(=O)O,108
3-Ureidopropionic acid,C(CNC(=O)N)C(=O)O,111
N-carbamoyl-beta-alanine,C(CNC(=O)N)C(=O)O,111
5-amino-1H-imidazole-4-carboxylic acid,C1=NC(=C(N1)C(=O)O)N,117
4-aminobutyric acid,C(CC(=O)O)CN,119
GAMMA-AMINOBUTYRATE,C(CC(=O)O)CN,119
Gamma-Aminobutyric Acid,C(CC(=O)O)CN,119
gamma-Aminobutyrate,C(CC(=O)O)CN,119
4-AMINOBUTANOATE,NA,119
gamma-Aminobutyric acid,NA,119
4-guanidinobutanamide,C(CC(=O)N)CN=C(N)N,123
Tiformin,C(CC(=O)N)CN=C(N)N,123
4-HYDROXYBENZALDEHYDE,C1=CC(=CC=C1C=O)O,126
4-Hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,126
4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,126
4-HYDROXYBENZALDEHYDE,NA,126
Hydroxyphenylacetic acid,NA,127
para-Hydroxyphenylacetic acid,NA,127
gamma-butyrobetaine M,C[N+](C)(C)CCCC(=O)O,134
4-Hydroxybenzoic acid,C1=CC(=CC=C1C(=O)O)O,135
Paraben,C1=CC(=CC=C1C(=O)O)O,135
4-HYDROXYBENZOATE,NA,135
5-AMINOLEVULINATE,C(CC(=O)O)C(=O)CN,137
5-amino-4-oxopentanoic acid,C(CC(=O)O)C(=O)CN,137
Aminolevulinic Acid,C(CC(=O)O)C(=O)CN,137
Aminolevulinic acid,C(CC(=O)O)C(=O)CN,137
delta-Aminolevulinic acid,C(CC(=O)O)C(=O)CN,137
5-AMINOPENTANOATE,C(CCN)CC(=O)O,138
5-AVA,C(CCN)CC(=O)O,138
5-Aminopentanoic acid,C(CCN)CC(=O)O,138
5-Aminovaleric acid,C(CCN)CC(=O)O,138
5-AMINOPENTANOATE,NA,138
"1-(7-hydroxy-6-methylheptan-2-yl)-9a,11a-dimethyl-hexadecahydro-1H-cyclopenta[a]phenanthrene-4,7,11-triol",NA,140
5-Hydroxy-DL-tryptophan,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,144
5-Hydroxytryptophan,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,144
5-hydroxytryptophan,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,144
"2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol",CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,149
5`-Deoxy-5`-(methylthio)adenosine,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,149
MeSAdo,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,149
MeSAdo M+formate,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,149
5-KETO-GLUCONIC ACID,C(C(=O)C(C(C(C(=O)O)O)O)O)O,157
8-amino-7-oxononanoic acid,CC(C(=O)CCCCCC(=O)O)N,173
Acetoin,CC(C(=O)C)O,179
N-ACETYL-DL-GLUTAMIC ACID,CC(=O)NC(CCC(=O)O)C(=O)O,185
N-ACETYL-DL-GLUTAMIC ACID20.0 eV,CC(=O)NC(CCC(=O)O)C(=O)O,185
N-Acetyl-DL-glutamic acid,CC(=O)NC(CCC(=O)O)C(=O)O,185
N-Acetylglutamic acid,NA,185
2-acetyloxyethyl-trimethylazanium,CC(=O)OCC[N+](C)(C)C,187
Acetylcholine,CC(=O)OCC[N+](C)(C)C,187
O-Acetylcholine M,CC(=O)OCC[N+](C)(C)C,187
Adenin,C1=NC2=NC=NC(=C2N1)N,190
Adenine,C1=NC2=NC=NC(=C2N1)N,190
Adipic Acid,C(CCC(=O)O)CC(=O)O,196
Adipic acid,C(CCC(=O)O)CC(=O)O,196
adipic acid,C(CCC(=O)O)CC(=O)O,196
Agmatine,C(CCN=C(N)N)CN,199
Allantoin,C1(C(=O)NC(=O)N1)NC(=O)N,204
DL-Threonine,CC(C(C(=O)O)N)O,205
2-Amino-6-oxohexanoic acid,C(CC=O)CC(C(=O)O)N,207
Allysine (not validated),C(CC=O)CC(C(=O)O)N,207
Anthranilate,C1=CC=C(C(=C1)C(=O)O)N,227
Anthranilic acid,C1=CC=C(C(=C1)C(=O)O)N,227
anthranilic acid,C1=CC=C(C(=C1)C(=O)O)N,227
"5,8,11,14-Eicosatetraenoic acid, (5Z,8Z,11Z,14Z)-",CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,231
EicosatetraenoicAcid Arachidonic,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,231
DL-Arginine,C(CC(C(=O)O)N)CN=C(N)N,232
Harg,NA,232
BETA-ALANINE,C(CN)C(=O)O,239
Beta-Alanine,C(CN)C(=O)O,239
beta-alanine,C(CN)C(=O)O,239
Benzaldehyde,C1=CC=C(C=C1)C=O,240
Benzoic Acid,C1=CC=C(C=C1)C(=O)O,243
Benzoic acid,C1=CC=C(C=C1)C(=O)O,243
Benzoic acid,NA,243
BENZYL ALCOHOL,C1=CC=C(C=C1)CO,244
Benzyl Alcohol,C1=CC=C(C=C1)CO,244
BENZYL ALCOHOL,NA,244
Betaine,C[N+](C)(C)CC(=O)[O-],247
Betaine; CE30,C[N+](C)(C)CC(=O)[O-],247
Betaine,NA,247
"N,N,N-trimethylglycinium",C[N+](C)(C)CC(=O)O,248
TRIMETHYL GLYCINE,C[N+](C)(C)CC(=O)O,248
"Carboxy-N,N,N-trimethylmethanaminium M",NA,248
(carboxymethyl)trimethylazanium,NA,248
Butanal,CCCC=O,261
Butyraldehyde,CCCC=O,261
CADAVERINE,C(CCN)CCN,273
Cadaverine,C(CCN)CCN,273
"Pentane-1,5-diamine",C(CCN)CCN,273
Ureidosuccinic acid,C(C(C(=O)O)NC(=O)N)C(=O)O,279
Carnitine,C[N+](C)(C)CC(CC(=O)[O-])O,288
Catechol,C1=CC=C(C(=C1)O)O,289
Pyrocatechol,C1=CC=C(C(=C1)O)O,289
ReSpect:PT109180 Kaempferol-3-Glucoside-2''-p-coumaroyl,C,297
cholic acid M+formate,NA,303
Analogue of Cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,304
Choline,C[N+](C)(C)CCO,305
"Aconitic acid (not validated, isomer of 273)",NA,309
ACONITIC ACID,NA,309
Aconitic Acid,NA,309
CITRIC ACID,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,311
Citric acid,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,311
citric acid,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,311
"Coumaric acid (isomer of 189, 194)",C1=CC(=CC=C1C=CC(=O)O)O,322
Coumaric Acid,NA,322
Coumarin,C1=CC=C2C(=C1)C=CC(=O)O2,323
4-Isopropylbenzyl alcohol,CC(C)C1=CC=C(C=C1)CO,325
cuminyl alcohol,CC(C)C1=CC=C(C=C1)CO,325
