"HGMA.ID","User","dataset.ID","Parent.Code","Book.Code","Dilution","Injection.Volume.uL","Sample.Location","File.Location","Notes"
"HGMA_0001","HGM","HGMD_0001","HGME_0001","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0002","HGM","HGMD_0001","HGME_0002","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0003","HGM","HGMD_0001","HGME_0003","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0004","HGM","HGMD_0001","HGME_0004","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0005","HGM","HGMD_0001","HGME_0005","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0006","HGM","HGMD_0001","HGME_0006","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0007","HGM","HGMD_0001","HGME_0007","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0008","HGM","HGMD_0001","HGME_0008","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0009","HGM","HGMD_0001","HGME_0009","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0010","HGM","HGMD_0001","HGME_0010","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0011","HGM","HGMD_0001","HGME_0011","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0012","HGM","HGMD_0001","HGME_0012","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0013","HGM","HGMD_0001","HGME_0013","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0014","HGM","HGMD_0001","HGME_0014","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0015","HGM","HGMD_0001","HGME_0015","MC01-01","10 uL",NA,NA,NA,NA
"HGMA_0016","HGM","HGMD_0001","HGME_0001","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0017","HGM","HGMD_0001","HGME_0002","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0018","HGM","HGMD_0001","HGME_0003","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0019","HGM","HGMD_0001","HGME_0004","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0020","HGM","HGMD_0001","HGME_0005","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0021","HGM","HGMD_0001","HGME_0006","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0022","HGM","HGMD_0001","HGME_0007","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0023","HGM","HGMD_0001","HGME_0008","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0024","HGM","HGMD_0001","HGME_0009","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0025","HGM","HGMD_0001","HGME_0010","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0026","HGM","HGMD_0001","HGME_0011","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0027","HGM","HGMD_0001","HGME_0012","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0028","HGM","HGMD_0001","HGME_0013","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0029","HGM","HGMD_0001","HGME_0014","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0030","HGM","HGMD_0001","HGME_0015","MC01-01","20 uL",NA,NA,NA,NA
"HGMA_0031","HGM","HGMD_0002","HGME_0001","MC01-01","neat",NA,"Fr1-Bx5-E5",NA,NA
"HGMA_0032","HGM","HGMD_0002","HGME_0002","MC01-01","neat",NA,"Fr1-Bx5-E6",NA,NA
"HGMA_0033","HGM","HGMD_0002","HGME_0003","MC01-01","neat",NA,NA,NA,NA
"HGMA_0034","HGM","HGMD_0002","HGME_0004","MC01-01","neat",NA,"Fr1-Bx5-E7",NA,NA
"HGMA_0035","HGM","HGMD_0002","HGME_0005","MC01-01","neat",NA,NA,NA,NA
"HGMA_0036","HGM","HGMD_0002","HGME_0006","MC01-01","neat",NA,NA,NA,NA
"HGMA_0037","HGM","HGMD_0002","HGME_0007","MC01-01","neat",NA,"Fr1-Bx5-E8",NA,NA
"HGMA_0038","HGM","HGMD_0002","HGME_0008","MC01-01","neat",NA,NA,NA,NA
"HGMA_0039","HGM","HGMD_0002","HGME_0009","MC01-01","neat",NA,NA,NA,NA
"HGMA_0040","HGM","HGMD_0002","HGME_0010","MC01-01","neat",NA,"Fr1-Bx5-E9",NA,NA
"HGMA_0041","HGM","HGMD_0002","HGME_0011","MC01-01","neat",NA,NA,NA,NA
"HGMA_0042","HGM","HGMD_0002","HGME_0012","MC01-01","neat",NA,NA,NA,NA
"HGMA_0043","HGM","HGMD_0002","HGME_0013","MC01-01","neat",NA,NA,NA,NA
"HGMA_0044","HGM","HGMD_0002","HGME_0014","MC01-01","neat",NA,NA,NA,NA
"HGMA_0045","HGM","HGMD_0002","HGME_0015","MC01-01","neat",NA,NA,NA,NA
"HGMA_0046","HGM","HGMD_0002","HGME_0001","MC01-01","4",NA,NA,NA,NA
"HGMA_0047","HGM","HGMD_0002","HGME_0002","MC01-01","4",NA,NA,NA,NA
"HGMA_0048","HGM","HGMD_0002","HGME_0003","MC01-01","4",NA,NA,NA,NA
"HGMA_0049","HGM","HGMD_0002","HGME_0004","MC01-01","4",NA,NA,NA,NA
"HGMA_0050","HGM","HGMD_0002","HGME_0005","MC01-01","4",NA,NA,NA,NA
"HGMA_0051","HGM","HGMD_0002","HGME_0006","MC01-01","4",NA,NA,NA,NA
"HGMA_0052","HGM","HGMD_0002","HGME_0007","MC01-01","4",NA,NA,NA,NA
"HGMA_0053","HGM","HGMD_0002","HGME_0008","MC01-01","4",NA,NA,NA,NA
"HGMA_0054","HGM","HGMD_0002","HGME_0009","MC01-01","4",NA,NA,NA,NA
"HGMA_0055","HGM","HGMD_0002","HGME_0010","MC01-01","4",NA,NA,NA,NA
"HGMA_0056","HGM","HGMD_0002","HGME_0011","MC01-01","4",NA,NA,NA,NA
"HGMA_0057","HGM","HGMD_0002","HGME_0012","MC01-01","4",NA,NA,NA,NA
"HGMA_0058","HGM","HGMD_0002","HGME_0013","MC01-01","4",NA,NA,NA,NA
"HGMA_0059","HGM","HGMD_0002","HGME_0014","MC01-01","4",NA,NA,NA,NA
"HGMA_0060","HGM","HGMD_0002","HGME_0015","MC01-01","4",NA,NA,NA,NA
"HGMA_0061","HGM","HGMD_0002","HGME_0001","MC01-01","10",NA,NA,NA,NA
"HGMA_0062","HGM","HGMD_0002","HGME_0002","MC01-01","10",NA,NA,NA,NA
"HGMA_0063","HGM","HGMD_0002","HGME_0003","MC01-01","10",NA,NA,NA,NA
"HGMA_0064","HGM","HGMD_0002","HGME_0004","MC01-01","10",NA,NA,NA,NA
"HGMA_0065","HGM","HGMD_0002","HGME_0005","MC01-01","10",NA,NA,NA,NA
"HGMA_0066","HGM","HGMD_0002","HGME_0006","MC01-01","10",NA,NA,NA,NA
"HGMA_0067","HGM","HGMD_0002","HGME_0007","MC01-01","10",NA,NA,NA,NA
"HGMA_0068","HGM","HGMD_0002","HGME_0008","MC01-01","10",NA,NA,NA,NA
"HGMA_0069","HGM","HGMD_0002","HGME_0009","MC01-01","10",NA,NA,NA,NA
"HGMA_0070","HGM","HGMD_0002","HGME_0010","MC01-01","10",NA,NA,NA,NA
"HGMA_0071","HGM","HGMD_0002","HGME_0011","MC01-01","10",NA,NA,NA,NA
"HGMA_0072","HGM","HGMD_0002","HGME_0012","MC01-01","10",NA,NA,NA,NA
"HGMA_0073","HGM","HGMD_0002","HGME_0013","MC01-01","10",NA,NA,NA,NA
