"HGMB.ID","Book No.","Collection Date","Aquisition Date
(if applicable)","Insititution of Cultivation","Sample Type","Strain.ID","Replicate","Taxonomy","Cultivation Media","Sample Scale","Aerobic conditions","Treatment","Cultivation Time / h","CFU per mL","Description"
"HGMB_0001","MC01-22",2024-06-13,2024-06-14,"Hudson Institute, Monash Uni","Bacterial","614","1","Lactococcus sp.","YCFA","Small",FALSE,"NA","17","467000000","Anaerobic conditions, 35 mL media, and frozen at -80 following separation of pellet and supernatant"
"HGMB_0002","MC01-22",2024-06-13,2024-06-14,"Hudson Institute, Monash Uni","Bacterial","614","2","Lactococcus sp.","YCFA","Small",FALSE,"NA","17","367000000","Anaerobic conditions, 35 mL media, and frozen at -80 following separation of pellet and supernatant"
"HGMB_0003","MC01-22",2024-06-13,2024-06-14,"Hudson Institute, Monash Uni","Bacterial","614","3","Lactococcus sp.","YCFA","Small",FALSE,"NA","17","300000000","Anaerobic conditions, 35 mL media, and frozen at -80 following separation of pellet and supernatant"
"HGMB_0004","MC01-22",2024-06-13,2024-06-14,"Hudson Institute, Monash Uni","Bacterial","64","1","Enterococcus sp.","YCFA","Small",FALSE,"NA","17","2050000000","Anaerobic conditions, 35 mL media, and frozen at -80 following separation of pellet and supernatant"
"HGMB_0005","MC01-22",2024-06-13,2024-06-14,"Hudson Institute, Monash Uni","Bacterial","64","2","Enterococcus sp.","YCFA","Small",FALSE,"NA","17","500000000","Anaerobic conditions, 35 mL media, and frozen at -80 following separation of pellet and supernatant"
"HGMB_0006","MC01-22",2024-06-13,2024-06-14,"Hudson Institute, Monash Uni","Bacterial","64","3","Enterococcus sp.","YCFA","Small",FALSE,"NA","17","170000000","Anaerobic conditions, 35 mL media, and frozen at -80 following separation of pellet and supernatant"
"HGMB_0007","MC01-22",2024-06-13,2024-06-14,"Hudson Institute, Monash Uni","Bacterial","86","1","Bacteroides thetaiotaomicron","YCFA","Small",FALSE,"NA","17","6000000000","Anaerobic conditions, 35 mL media, and frozen at -80 following separation of pellet and supernatant"
"HGMB_0008","MC01-22",2024-06-13,2024-06-14,"Hudson Institute, Monash Uni","Bacterial","86","2","Bacteroides thetaiotaomicron","YCFA","Small",FALSE,"NA","17","400000000","Anaerobic conditions, 35 mL media, and frozen at -80 following separation of pellet and supernatant"
"HGMB_0009","MC01-22",2024-06-13,2024-06-14,"Hudson Institute, Monash Uni","Bacterial","86","3","Bacteroides thetaiotaomicron","YCFA","Small",FALSE,"NA","17","450000000","Anaerobic conditions, 35 mL media, and frozen at -80 following separation of pellet and supernatant"
"HGMB_0010","MC01-22",2024-06-13,2024-06-14,"Hudson Institute, Monash Uni","Bacterial","301","1","Escherichia coli","YCFA","Small",FALSE,"NA","17","145000000","Anaerobic conditions, 35 mL media, and frozen at -80 following separation of pellet and supernatant"
