"HGMC.ID","column.type","Chromatography Scale","Column Name","Particle Size / um","Length / mm","Diameter / mm","Column Volume / mL","Sorbent Mass / g","Serial Number","Supplier","Date Opened","Typical Eluent A","Typical Eluent B","Rec. Temp","Rec. Flowrate / mL.min-1","pMAX / bar","Notes"
"HGMC_0001","C18","Analytical","ZORBAX Extend C18, RRHD",5,"150","2.1",0.519540885087412,"NA","USDDQ01364","Agilent","45344","H2O, 20 mM FA","MeCN, 20 mM FA","30","0.3","NA",NA
"HGMC_0002","HILIC","Analytical","SeQuant ZIC-pHILIC",5,"150","4.5999999999999996",2.4928537706235,"NA","227307","Merck","Unknown","H2O, 20mM (NH4)2CO3","MeCN","25","0.3","NA","Avoid 100% Acetonitrile, starting cond. 80% Acetonitrile"
"HGMC_0003","SCX","Analytical","ZORBAX 300-SCX",5,"150","2.1",0.519540885087412,"NA","USTF001915","Agilent","45391","H2O, 20 mM FA, 5 mM NH4COOH","MeCN, 20 mM FA","25","0.25","NA","Do not use buffers that are outside recommended pH range (pH 2-6.5)"
"HGMC_0004","C18","Analytical","Infinitylab Poroshell 120 EC-C18",2.7,"100","2.1",0.346360590058275,"NA","USCGC12612","Agilent","45400","H2O, 20 mM FA","MeCN, 20 mM FA","30","0.3","NA",NA
"HGMC_0005","C18","Analytical","Infinitylab Poroshell 120 EC-C18",2.7,"100","2.1",0.346360590058275,"NA","USCGC21509","Agilent","45542","H2O, 20 mM FA","MeCN, 20 mM FA","30","0.3","NA",NA
"HGMC_0006","C18","Semi-preparative","Alltech Apollo C18 5 u Lot No. 0509001011",5,"150","10",11.7809724509617,"NA","605101009","Alltech","Unknown","H2O, 20 mM FA","MeCN","30","10","NA",NA
"HGMC_0007","C18","Semi-preparative","ACE 10 Super C18",10,"150","21.2",52.9484025836024,"NA","1311-1520","ACE","Unknown","H2O, 20 mM FA","MeCN","30","10","NA",NA
"HGMC_0008","C18","Semi-preparative","ACE Excel 5 Super C18",5,"150","4.5999999999999996",2.4928537706235,"NA","A185742","ACE","Unknown","H2O, 20 mM FA","MeCN","30","1","NA",NA
"HGMC_0009","Amine","Preparative","Reveleris® Amino 6g",40,"NA","NA",6,"4","5157330","Grace/Buchi","20/09/20254","Water","ACN","25","15","13.8",NA
"HGMC_0010","Phe-Hex","Analytical","Infinitylab Poroshell 120 Phenyl Hexyl",2.7,"100","2.1",0.346360590058275,"NA","USEEW04254","Agilent","16/10/2024","H2O, 20 mM FA","MeCN, 20 mM FA","40","0.3","NA","Column pressure @5ACN = 200 bar
b - Column pressure is high now."
