"HGME.ID","Parent Code","Book No.","Extract No.","Sample No.","Expt Date","Extraction Solvents","Replicate","Internal Standards?","Crude Wt / g","Tare / g","Final / g","Extract Wt / mg","Storage Location","Other Identifiers?","Notes"
"HGME_0001","HGMH_0001","MC01-01","A1","MC01-01-A1",2024-01-31,"MeOH","1","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0002","HGMH_0001","MC01-01","A2","MC01-01-A2",2024-01-31,"MeOH","2","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0003","HGMH_0001","MC01-01","A3","MC01-01-A3",2024-01-31,"MeOH","3","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0004","HGMH_0001","MC01-01","B1","MC01-01-B1",2024-01-31,"IPA","1","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0005","HGMH_0001","MC01-01","B2","MC01-01-B2",2024-01-31,"IPA","2","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0006","HGMH_0001","MC01-01","B3","MC01-01-B3",2024-01-31,"IPA","3","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0007","HGMH_0001","MC01-01","C1","MC01-01-C1",2024-01-31,"MeOH/H2O (3:1)","1","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0008","HGMH_0001","MC01-01","C2","MC01-01-C2",2024-01-31,"MeOH/H2O (3:1)","2","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0009","HGMH_0001","MC01-01","C3","MC01-01-C3",2024-01-31,"MeOH/H2O (3:1)","3","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0010","HGMH_0001","MC01-01","D1","MC01-01-D1",2024-01-31,"EtOAc/IPA (3:1) + 1% FA","1","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0011","HGMH_0001","MC01-01","D2","MC01-01-D2",2024-01-31,"EtOAc/IPA (3:1) + 1% FA","2","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0012","HGMH_0001","MC01-01","D3","MC01-01-D3",2024-01-31,"EtOAc/IPA (3:1) + 1% FA","3","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0013","HGMH_0001","MC01-01","E1","MC01-01-E1",2024-01-31,"MeOH/H2O/DCM","1","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0014","HGMH_0001","MC01-01","E2","MC01-01-E2",2024-01-31,"MeOH/H2O/DCM","2","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0015","HGMH_0001","MC01-01","E3","MC01-01-E3",2024-01-31,"MeOH/H2O/DCM","3","Yes",0.1,NA,NA,"0",NA,NA,NA
"HGME_0016","HGMH_0002","PR01-08","2","PR01-08-2",2024-02-26,"MeOH","NA","No",40,21.55954,22.54371,"984.17000000000246",NA,NA,NA
"HGME_0017","HGMH_0002","PR01-08","1","PR01-08-1",2024-02-26,"Acetone","NA","No",40,21.25805,23.54613,"2288.0800000000008",NA,NA,NA
"HGME_0018","HGMH_0002","PR01-08","3","PR01-08-3",2024-02-26,"3:1 MeOH/DCM","NA","No",40,21.63355,23.5461,"1912.5499999999995",NA,NA,NA
"HGME_0019","HGME_0017","PR01-11","AQ","PR01-11-AQ",2024-03-12,"Water","NA","No",NA,NA,NA,NA,NA,NA,"Water"
"HGME_0020","HGME_0017","PR01-17","01","PR01-17-01",2024-05-02,"Butanol","NA","No",NA,NA,NA,"1.0999999999999999E-2",NA,NA,"Butanol (top layer)"
"HGME_0021","HGME_0017","PR01-17","02","PR01-17-02",2024-05-02,"Water","NA","No",NA,NA,NA,"4.8000000000000001E-2",NA,NA,"Water (bottom layer)"
"HGME_0022","HGMB_0016","MC01-22","CON-1","MC01-22-CON-1",2024-06-17,"MeOH/H2O (3:1)","1","Yes",NA,NA,NA,"0","Fr1-Bx13-C3",NA,NA
"HGME_0023","HGMB_0017","MC01-22","CON-2","MC01-22-CON-2",2024-06-17,"MeOH/H2O (3:1)","2","Yes",NA,NA,NA,"0","Fr1-Bx13-C4",NA,NA
"HGME_0024","HGMB_0018","MC01-22","CON-3","MC01-22-CON-3",2024-06-17,"MeOH/H2O (3:1)","3","Yes",NA,NA,NA,"0","Fr1-Bx13-C5",NA,NA
"HGME_0025","HGMB_0001","MC01-22","614-1","MC01-22-614-1",2024-06-17,"MeOH/H2O (3:1)","1","Yes",NA,NA,NA,"0","Fr1-Bx14-E5",NA,NA
"HGME_0026","HGMB_0002","MC01-22","614-2","MC01-22-614-2",2024-06-17,"MeOH/H2O (3:1)","2","Yes",NA,NA,NA,"0","Fr1-Bx14-E6",NA,NA
"HGME_0027","HGMB_0003","MC01-22","614-3","MC01-22-614-3",2024-06-17,"MeOH/H2O (3:1)","3","Yes",NA,NA,NA,"0","Fr1-Bx14-E7",NA,NA
"HGME_0028","HGMB_0001","MC01-22","614S-1","MC01-22-614S-1",2024-06-17,"MeOH/H2O (3:1)","1","Yes",NA,NA,NA,"0","Fr1-Bx13-C6",NA,NA
"HGME_0029","HGMB_0002","MC01-22","614S-2","MC01-22-614S-2",2024-06-17,"MeOH/H2O (3:1)","2","Yes",NA,NA,NA,"0","Fr1-Bx13-C7",NA,NA
"HGME_0030","HGMB_0003","MC01-22","614S-3","MC01-22-614S-3",2024-06-17,"MeOH/H2O (3:1)","3","Yes",NA,NA,NA,"0","Fr1-Bx13-C8",NA,NA
"HGME_0031","HGMB_0004","MC01-22","64-1","MC01-22-64-1",2024-06-17,"MeOH/H2O (3:1)","1","Yes",NA,NA,NA,"0","Fr1-Bx14-E8",NA,NA
"HGME_0032","HGMB_0005","MC01-22","64-2","MC01-22-64-2",2024-06-17,"MeOH/H2O (3:1)","2","Yes",NA,NA,NA,"0","Fr1-Bx14-E9",NA,NA
"HGME_0033","HGMB_0006","MC01-22","64-3","MC01-22-64-3",2024-06-17,"MeOH/H2O (3:1)","3","Yes",NA,NA,NA,"0","Fr1-Bx14-E10",NA,NA
"HGME_0034","HGMB_0004","MC01-22","64S-1","MC01-22-64S-1",2024-06-17,"MeOH/H2O (3:1)","1","Yes",NA,NA,NA,"0","Fr1-Bx13-C9",NA,NA
"HGME_0035","HGMB_0005","MC01-22","64S-2","MC01-22-64S-2",2024-06-17,"MeOH/H2O (3:1)","2","Yes",NA,NA,NA,"0","Fr1-Bx13-D1",NA,NA
"HGME_0036","HGMB_0006","MC01-22","64S-3","MC01-22-64S-3",2024-06-17,"MeOH/H2O (3:1)","3","Yes",NA,NA,NA,"0","Fr1-Bx13-D2",NA,NA
"HGME_0037","HGMB_0010","MC01-22","301-1","MC01-22-301-1",2024-06-17,"MeOH/H2O (3:1)","1","Yes",NA,NA,NA,"0","Fr1-Bx14-F1",NA,NA
"HGME_0038","HGMB_0011","MC01-22","301-2","MC01-22-301-2",2024-06-17,"MeOH/H2O (3:1)","2","Yes",NA,NA,NA,"0","Fr1-Bx14-F2",NA,NA
"HGME_0039","HGMB_0012","MC01-22","301-3","MC01-22-301-3",2024-06-17,"MeOH/H2O (3:1)","3","Yes",NA,NA,NA,"0","Fr1-Bx14-F3",NA,NA
"HGME_0040","HGMB_0010","MC01-22","301S-1","MC01-22-301S-1",2024-06-17,"MeOH/H2O (3:1)","1","Yes",NA,NA,NA,"0","Fr1-Bx13-D3",NA,NA
"HGME_0041","HGMB_0011","MC01-22","301S-2","MC01-22-301S-2",2024-06-17,"MeOH/H2O (3:1)","2","Yes",NA,NA,NA,"0","Fr1-Bx13-D4",NA,NA
"HGME_0042","HGMB_0012","MC01-22","301S-3","MC01-22-301S-3",2024-06-17,"MeOH/H2O (3:1)","3","Yes",NA,NA,NA,"0","Fr1-Bx13-D5",NA,NA
"HGME_0043","HGMB_0007","MC01-22","86-1","MC01-22-86-1",2024-06-17,"MeOH/H2O (3:1)","1","Yes",NA,NA,NA,"0","Fr1-Bx14-F4",NA,NA
