"HGMF.ID","Parent Code","Book No.","Fraction Subidentifier","Full Book Code","Fractionation Solvents","Tare / g","Final / g","Weight / mg","Storage Location","Fractionation Method","Column.ID","Flow Rate / mL.min-1","Notes","Notes 2"
"HGMF_0001","HGME_0016","MC01-05","CR","MC01-05-CR","MeOH",NA,NA,NA,"Discarded","Plexa SPE","HGMC_0014","NA","Crude extract, base-load",NA
"HGMF_0002","HGME_0016","MC01-05","5ME","MC01-05-5ME","5% MeOH",NA,NA,NA,"Discarded","Plexa SPE","HGMC_0014","NA","base-load",NA
"HGMF_0003","HGME_0016","MC01-05","ME","MC01-05-ME","MeOH",2.6601,2.6615,"1.4","Discarded","Plexa SPE","HGMC_0014","NA","base-load",NA
"HGMF_0004","HGMF_0045","MC01-07","CR","MC01-07-CR","70% MeCN",NA,NA,"12.1","NA","Semiprep","HGMC_0006","2","Crude extract, fractionation imperfect due to poor equilibration in runB",NA
"HGMF_0005","HGMF_0045","MC01-07","01","MC01-07-01","70% MeCN",NA,NA,"NA","Fr1-Bx5-B8","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0006","HGMF_0045","MC01-07","02","MC01-07-02","70% MeCN",NA,NA,"NA","Fr1-Bx5-B9","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0007","HGMF_0045","MC01-07","03","MC01-07-03","70% MeCN",NA,NA,"NA","Fr1-Bx5-B10","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0008","HGMF_0045","MC01-07","04","MC01-07-04","70% MeCN",NA,NA,"NA","Fr1-Bx5-C1","Semiprep","HGMC_0006","2","Unknown major at 6.5min, M+H = 337.1755",NA
"HGMF_0009","HGMF_0045","MC01-07","05","MC01-07-05","70% MeCN",NA,NA,"NA","Fr1-Bx5-C2","Semiprep","HGMC_0006","2","Mixture",NA
"HGMF_0010","HGMF_0045","MC01-07","06","MC01-07-06","70% MeCN",NA,NA,"NA","Fr1-Bx5-C3","Semiprep","HGMC_0006","2","Major is glycocholate at 8.0 min, M+H = 466.3162",NA
"HGMF_0011","HGMF_0045","MC01-07","07","MC01-07-07","70% MeCN",NA,NA,"NA","Fr1-Bx5-C4","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0012","HGMF_0045","MC01-07","08","MC01-07-08","70% MeCN",NA,NA,"NA","Fr1-Bx5-C5","Semiprep","HGMC_0006","2","Major is 7-oxolithocholic acid at 7.2 min, M+H = 391.2837",NA
"HGMF_0013","HGMF_0045","MC01-07","09","MC01-07-09","70% MeCN",NA,NA,"NA","Fr1-Bx5-C6","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0014","HGMF_0045","MC01-07","10","MC01-07-10","70% MeCN",NA,NA,"NA","Fr1-Bx5-C7","Semiprep","HGMC_0006","2","Major is a spectral match for cholic acid at 7.8 min",NA
"HGMF_0015","HGMF_0045","MC01-07","11","MC01-07-11","70% MeCN",NA,NA,"NA","Fr1-Bx5-C8","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0016","HGMF_0045","MC01-07","12","MC01-07-12","70% MeCN",NA,NA,"NA","Fr1-Bx5-C9","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0017","HGMF_0045","MC01-07","13","MC01-07-13","70% MeCN",NA,NA,"NA","Fr1-Bx5-C10","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0018","HGMF_0045","MC01-07","14","MC01-07-14","70% MeCN",NA,NA,"NA","Fr1-Bx5-D1","Semiprep","HGMC_0006","2","First major is a spectral match for cholic acid at 7.8 min
Second major at 7.9 min is an unknown! M+H = 407.2787
Third major at 7.95 min is an unknown! M+H2O+H = 389.2645",NA
"HGMF_0019","HGMF_0045","MC01-07","15","MC01-07-15","70% MeCN",NA,NA,"NA","Fr1-Bx5-D2","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0020","HGMF_0045","MC01-07","16","MC01-07-16","70% MeCN",NA,NA,"NA","Fr1-Bx5-D3","Semiprep","HGMC_0006","2","Major is a spectral match for cholic acid at 8.2 min",NA
"HGMF_0021","HGMF_0045","MC01-07","17","MC01-07-17","70% MeCN",NA,NA,"NA","Fr1-Bx5-D4","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0022","HGMF_0045","MC01-07","18","MC01-07-18","70% MeCN",NA,NA,"NA","Fr1-Bx5-D5","Semiprep","HGMC_0006","2","Polar major is an unknown!
NP major is glycoursodeoxycholic acid at 9.0 min",NA
"HGMF_0023","HGMF_0045","MC01-07","19","MC01-07-19","70% MeCN",NA,NA,"NA","Fr1-Bx5-D6","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0024","HGMF_0045","MC01-07","20","MC01-07-20","70% MeCN",NA,NA,"NA","Fr1-Bx5-D7","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0025","HGMF_0045","MC01-07","21","MC01-07-21","70% MeCN",NA,NA,"NA","Fr1-Bx5-D8","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0026","HGMF_0045","MC01-07","22","MC01-07-22","70% MeCN",NA,NA,"NA","Fr1-Bx5-D9","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0027","HGMF_0045","MC01-07","23","MC01-07-23","70% MeCN",NA,NA,"NA","Fr1-Bx5-D10","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0028","HGMF_0045","MC01-07","24","MC01-07-24","70% MeCN",NA,NA,"NA","NA","Semiprep","HGMC_0006","2",NA,NA
"HGMF_0029","HGMF_0045","MC01-07","25","MC01-07-25","70% MeCN",NA,NA,"NA","NA","Semiprep","HGMC_0006","2","Major at 8.5 min is an unknown! M+H = 407.2787",NA
"HGMF_0030","HGME_0016","MC01-09","A01","MC01-09-A01","50% MeCN/MeOH",NA,NA,"NA","NA","Plexa-PCX SPE","HGMC_0013","NA",NA,NA
