"HGMP.ID","Cell Type","Phenotype","Feature"
"HGMP_0001","BMDM","M0","Total_DAPI_Count"
"HGMP_0002","BMDM","M0","Positive_Perc_ARG"
"HGMP_0003","BMDM","M0","Positive_Perc_INOS"
"HGMP_0004","BMDM","M1","Total_DAPI_Count"
"HGMP_0005","BMDM","M1","Positive_Perc_ARG"
"HGMP_0006","BMDM","M1","Positive_Perc_INOS"
"HGMP_0007","BMDM","M2","Total_DAPI_Count"
"HGMP_0008","BMDM","M2","Positive_Perc_ARG"
"HGMP_0009","BMDM","M2","Positive_Perc_INOS"
"HGMP_0010",NA,NA,NA
"HGMP_0011",NA,NA,NA
"HGMP_0012",NA,NA,NA
"HGMP_0013",NA,NA,NA
"HGMP_0014",NA,NA,NA
"HGMP_0015",NA,NA,NA
"HGMP_0016",NA,NA,NA
"HGMP_0017",NA,NA,NA
"HGMP_0018",NA,NA,NA
"HGMP_0019",NA,NA,NA
"HGMP_0020",NA,NA,NA
"HGMP_0021",NA,NA,NA
"HGMP_0022",NA,NA,NA
"HGMP_0023",NA,NA,NA
"HGMP_0024",NA,NA,NA
"HGMP_0025",NA,NA,NA
"HGMP_0026",NA,NA,NA
"HGMP_0027",NA,NA,NA
"HGMP_0028",NA,NA,NA
"HGMP_0029",NA,NA,NA
"HGMP_0030",NA,NA,NA
"HGMP_0031",NA,NA,NA
"HGMP_0032",NA,NA,NA
"HGMP_0033",NA,NA,NA
"HGMP_0034",NA,NA,NA
"HGMP_0035",NA,NA,NA
