"HGMS.ID","User (e.g. PR)","Dataset.ID","Chrom. Code 
(e.g. IC)","Dilution","Inj Vol. (uL)","Sample Location","Raw Data Location","Processed Data Location","Notes","Notes 2"
"HGMS_0001","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM01","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0002","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM02","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0003","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM03","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0004","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM04","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0005","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM05","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0006","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM06","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0007","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM07","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0008","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM08","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0009","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM09","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0010","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM10","C18-Standard List Comparisons_smiles.xlsx"
