"LookupName","ResolvedName","SMILES","CID","MolecularFormula","MonoisotopicMass"
"RH80 1238 S01 F14-16","RH80 1238 S01 F14-16","C[C@]1(CC[C@@]2([H])[C@@H](C(O)=O)C)CC[C@@H](O)C(C)=C1C2=O",NA,NA,NA
"3beta-Acetoxyfern-9(11)-ene-12-one","3beta-Acetoxyfern-9(11)-ene-12-one","C[C@]12CC[C@]([C@]3(C)C1CC[C@@H]2C(C)C)(C)C4CCC5C(C)(C)[C@@H](OC(C)=O)CCC5(C)C4=CC3=O",NA,NA,NA
"Ref C1","Ref C1","C[C@H]1CCCC2(O)[C@]1(C)[C@@H](O)C([C@@]3(OC)C2)=C(C)C(O3)=O",NA,NA,NA
"CH3-(PheOx2-co-NCH2CH2OH-co-PheOx1)-CH3","CH3-(PheOx2-co-NCH2CH2OH-co-PheOx1)-CH3","C[N+](CCN(CCO)CCN(CCN(C)C(C1=CC=CC=C1)=O)C(C2=CC=CC=C2)=O)([Na])C(C3=CC=CC=C3)=O",NA,NA,NA
"3alpha,12alpha-Dihydroxy-N-(1,1-bis(hydroxymethyl)-2-hydroxyethyl)-5beta-cholane-24-amide","3alpha,12alpha-Dihydroxy-N-(1,1-bis(hydroxymethyl)-2-hydroxyethyl)-5beta-cholane-24-amide","CC(CCC(=O)NC(CO)(CO)CO)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C",NA,NA,NA
"17-((2R)-5-(1-hydroxycyclopropyl)pentan-2-yl)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-3-ol","17-((2R)-5-(1-hydroxycyclopropyl)pentan-2-yl)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-3-ol","CC(CCCC1(CC1)O)C2CCC3C2(CCC4C3CCC5C4(CCC(C5)O)C)C",NA,NA,NA
"N-Acetyl-Myristoyl-Putrescine","N-Acetyl-Myristoyl-Putrescine","CC(NCCCCNC(CCCCCCCCCCCCC)=O)=O",NA,NA,NA
"N-Acetyl-Palmitoyl-Putrescine","N-Acetyl-Palmitoyl-Putrescine","CC(NCCCCNC(CCCCCCCCCCCCCCC)=O)=O",NA,NA,NA
"(2'S)-2',5',7',8'-tetramethyl-2,2-dioxo-2'-((4R,8S)-4,8,12-trimethyltridecyl)spiro(1,3,2-dioxathietane-4,3'-4H-chromene)-6'-ol","(2'S)-2',5',7',8'-tetramethyl-2,2-dioxo-2'-((4R,8S)-4,8,12-trimethyltridecyl)spiro(1,3,2-dioxathietane-4,3'-4H-chromene)-6'-ol","CC1=C(C2=C(CC3(C(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)OS(=O)(=O)O3)C(=C1O)C)C",NA,NA,NA
"F-14945-D1","F-14945-D1","CC1=C[C@@]([C@]2([H])[C@]([C@H]3CCC[C@@]2(O3)C)([H])CC4=O)([H])[C@]54C(N[C@@H](CC(C)C)[C@]5([H])[C@@H]1C)=O",NA,NA,NA
"cholic acid-C15:0","cholic acid-C15:0","CC12C(CCC2C(CCC(O)=O)C)C3C(O)CC4CC(OC(CCCCCCCCCCCCCC)=O)CCC4(C)C3CC1O",NA,NA,NA
"lithocholic acid-C13:0","lithocholic acid-C13:0","CC12C(CCC2C(CCC(O)=O)C)C3CCC4CC(OC(CCCCCCCCCCCC)=O)CCC4(C)C3CC1",NA,NA,NA
"1-((3R,5S,8R,9S,10S,13S,14S,17S)-3-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)-2-methylsulfanyloxyethanone","1-((3R,5S,8R,9S,10S,13S,14S,17S)-3-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)-2-methylsulfanyloxyethanone","CC12CCC(CC1CCC3C2CCC4(C3CCC4C(=O)COSC)C)O",NA,NA,NA
"(1R,3R)-5-((2E)-2-((7aR)-1-((2R)-1-((1S,3Z,5R)-3-((2E)-2-((7aR)-1-((2S)-6-hydroxy-6-methylheptan-2-yl)-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene)ethylidene)-5-hydroxy-2-methylidenecyclohexyl)oxy-6-hydroxy-6-methylheptan-2-yl)-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene)ethylidene)-2-methylcyclohexane-1,3-diol","(1R,3R)-5-((2E)-2-((7aR)-1-((2R)-1-((1S,3Z,5R)-3-((2E)-2-((7aR)-1-((2S)-6-hydroxy-6-methylheptan-2-yl)-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene)ethylidene)-5-hydroxy-2-methylidenecyclohexyl)oxy-6-hydroxy-6-methylheptan-2-yl)-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene)ethylidene)-2-methylcyclohexane-1,3-diol","CC1C(CC(=CC=C2CCCC3(C2CCC3C(CCCC(C)(C)O)COC4CC(CC(=CC=C5CCCC6(C5CCC6C(C)CCCC(C)(C)O)C)C4=C)O)C)CC1O)O",NA,NA,NA
"((1R,2S,3'S,4S,5'S,6S,7S,8R,9S,12S,13S,16S,18S)-16-hydroxy-5'-(hydroxymethyl)-7,9,13-trimethylspiro(5-oxapentacyclo(10.8.0.02,9.04,8.013,18)icosane-6,2'-piperidine)-3'-yl) acetate","((1R,2S,3'S,4S,5'S,6S,7S,8R,9S,12S,13S,16S,18S)-16-hydroxy-5'-(hydroxymethyl)-7,9,13-trimethylspiro(5-oxapentacyclo(10.8.0.02,9.04,8.013,18)icosane-6,2'-piperidine)-3'-yl) acetate","CC1C2C(CC3C2(CCC4C3CCC5C4(CCC(C5)O)C)C)OC16C(CC(CN6)CO)OC(=O)C",NA,NA,NA
"(3-carboxy-2-((7Z,9Z,11E,13E)-hexadeca-7,9,11,13-tetraenoyl)oxypropyl)-trimethylazanium","(3-carboxy-2-((7Z,9Z,11E,13E)-hexadeca-7,9,11,13-tetraenoyl)oxypropyl)-trimethylazanium","CCC=CC=CC=CC=CCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C",NA,NA,NA
"(2R,4R)-nonadec-16-ene-1,2,4-triol","(2R,4R)-nonadec-16-ene-1,2,4-triol","CCC=CCCCCCCCCCCCC(CC(CO)O)O",NA,NA,NA
"3-((2E)-5-((3-(2-carboxyethyl)-5-(((2R)-4-((1R)-1-hydroxyethyl)-3-methyl-5-oxo-1,2-dihydropyrrol-2-yl)methyl)-4-methyl-1H-pyrrol-2-yl)methyl)-2-(((3R,4R)-3-ethyl-4-methyl-5-oxopyrrolidin-2-yl)methylidene)-3-methyl-1,3-dihydropyrrol-4-yl)propanoic acid","3-((2E)-5-((3-(2-carboxyethyl)-5-(((2R)-4-((1R)-1-hydroxyethyl)-3-methyl-5-oxo-1,2-dihydropyrrol-2-yl)methyl)-4-methyl-1H-pyrrol-2-yl)methyl)-2-(((3R,4R)-3-ethyl-4-methyl-5-oxopyrrolidin-2-yl)methylidene)-3-methyl-1,3-dihydropyrrol-4-yl)propanoic acid","CCC1C(C(=O)NC1C=C2C(C(=C(N2)CC3=C(C(=C(N3)CC4C(=C(C(=O)N4)C(C)O)C)C)CCC(=O)O)CCC(=O)O)C)C",NA,NA,NA
"7-Propyl-TCDC","7-Propyl-TCDC","CCCC1(CC2CC(CCC2(C3C1C4CCC(C4(CC3)C)C(C)CCC(=O)NCCS(=O)(=O)O)C)O)O",NA,NA,NA
"Arg-C5:0","Arg-C5:0","CCCCC(NC(C(O)=O)CCCNC(N)=N)=O",NA,NA,NA
"4-(12-hydroxy-10,13-dimethyl-3-((Z)-tetradec-9-enoyl)oxy-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","4-(12-hydroxy-10,13-dimethyl-3-((Z)-tetradec-9-enoyl)oxy-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","CCCCC=CCCCCCCCC(=O)OC1CCC2(C(C1)CCC3C2CC(C4(C3CCC4C(C)CCC(=O)O)C)O)C",NA,NA,NA
"Dihexanoic acid (20R)-20-hydroxy-25-methoxy-5alpha-dammarane-3beta,12beta-diyl ester","Dihexanoic acid (20R)-20-hydroxy-25-methoxy-5alpha-dammarane-3beta,12beta-diyl ester","CCCCCC(=O)OC1CCC2(C(C1(C)C)CCC3(C2CC(C4C3(CCC4C(C)(CCCC(C)(C)OC)O)C)OC(=O)CCCCC)C)C",NA,NA,NA
"2-(4-(3-((10Z,13Z,16Z)-docosa-10,13,16-trienoyl)oxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoylamino)acetic acid","2-(4-(3-((10Z,13Z,16Z)-docosa-10,13,16-trienoyl)oxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoylamino)acetic acid","CCCCCC=CCC=CCC=CCCCCCCCCC(=O)OC1CCC2(C(C1)CCC3C2CCC4(C3CCC4C(C)CCC(=O)NCC(=O)O)C)C",NA,NA,NA
"4-(12-hydroxy-10,13-dimethyl-3-((9Z,12Z)-octadeca-9,12-dienoyl)oxy-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","4-(12-hydroxy-10,13-dimethyl-3-((9Z,12Z)-octadeca-9,12-dienoyl)oxy-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","CCCCCC=CCC=CCCCCCCCC(=O)OC1CCC2(C(C1)CCC3C2CC(C4(C3CCC4C(C)CCC(=O)O)C)O)C",NA,NA,NA
"4-(3-((13Z,16Z)-docosa-13,16-dienoyl)oxy-12-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","4-(3-((13Z,16Z)-docosa-13,16-dienoyl)oxy-12-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","CCCCCC=CCC=CCCCCCCCCCCCC(=O)OC1CCC2(C(C1)CCC3C2CC(C4(C3CCC4C(C)CCC(=O)O)C)O)C",NA,NA,NA
"4-(12-hydroxy-10,13-dimethyl-3-((Z)-pentadec-9-enoyl)oxy-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","4-(12-hydroxy-10,13-dimethyl-3-((Z)-pentadec-9-enoyl)oxy-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","CCCCCC=CCCCCCCCC(=O)OC1CCC2(C(C1)CCC3C2CC(C4(C3CCC4C(C)CCC(=O)O)C)O)C",NA,NA,NA
"(Z)-N-(2-(3,4-dihydroxyphenyl)ethyl)hexadec-9-enamide","(Z)-N-(2-(3,4-dihydroxyphenyl)ethyl)hexadec-9-enamide","CCCCCCC=CCCCCCCCC(=O)NCCC1=CC(=C(C=C1)O)O",NA,NA,NA
"2-(4-(3-((Z)-hexadec-9-enoyl)oxy-12-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoylamino)acetic acid","2-(4-(3-((Z)-hexadec-9-enoyl)oxy-12-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoylamino)acetic acid","CCCCCCC=CCCCCCCCC(=O)OC1CCC2(C(C1)CCC3C2CC(C4(C3CCC4C(C)CCC(=O)NCC(=O)O)C)O)C",NA,NA,NA
"4-(3-((Z)-hexadec-9-enoyl)oxy-12-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","4-(3-((Z)-hexadec-9-enoyl)oxy-12-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","CCCCCCC=CCCCCCCCC(=O)OC1CCC2(C(C1)CCC3C2CC(C4(C3CCC4C(C)CCC(=O)O)C)O)C",NA,NA,NA
"4-(3-((Z)-heptadec-9-enoyl)oxy-12-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","4-(3-((Z)-heptadec-9-enoyl)oxy-12-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","CCCCCCCC=CCCCCCCCC(=O)OC1CCC2(C(C1)CCC3C2CC(C4(C3CCC4C(C)CCC(=O)O)C)O)C",NA,NA,NA
"methyl (2R)-2-(((Z)-octadec-9-enoyl)amino)-3-phenylpropanoate","methyl (2R)-2-(((Z)-octadec-9-enoyl)amino)-3-phenylpropanoate","CCCCCCCCC=CCCCCCCCC(=O)NC(CC1=CC=CC=C1)C(=O)OC",NA,NA,NA
"4-(12-hydroxy-10,13-dimethyl-3-((Z)-octadec-9-enoyl)oxy-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","4-(12-hydroxy-10,13-dimethyl-3-((Z)-octadec-9-enoyl)oxy-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoic acid","CCCCCCCCC=CCCCCCCCC(=O)OC1CCC2(C(C1)CCC3C2CC(C4(C3CCC4C(C)CCC(=O)O)C)O)C",NA,NA,NA
